FileName,AroMean,ValMean
1236,7.6,8
1237,4.8,6.2
1238,7.2,8
1239,5.4,7.2
1240,7.6,7.8
1242,5.2,7
1243,8.2,8.2
1244,7.8,8.2
1245,6,6.6
1246,6.4,6.4
1247,7.2,8.4
1248,6.6,6.6
1249,6.6,7.8
1251,6.4,6.4
1252,6,6
1253,7.6,8.2
1254,8.6,8.6
1256,7.4,7.2
1257,5.8,7.4
1258,5,6.2
1260,6,6.6
1261,6,6.6
1264,7.8,8
1265,6.2,7.6
1267,6,6.6
1268,6.2,6.6
1269,5.8,7
1270,6.2,6.8
1272,4.6,5.8
1273,5,6.4
1274,6.6,6.2
1275,5.6,7.2
1277,5.8,6
1278,6.6,5.8
1279,6.6,6
1280,5.6,6.6
1281,6.4,7.4
1282,4.2,5.8
1283,6.8,7.8
1284,6.2,7.4
1285,5.6,6.2
1286,5.8,7.4
1287,7.2,8.6
1288,7.8,7.4
1290,6.8,6.6
1291,6.8,8
1292,6.2,7
1293,6.2,7.4
1294,7,6.8
1295,8,8.4
1296,6,8
1297,7,6.8
1298,6.8,7.4
1299,5.8,5.6
1300,5.8,6
1301,7.4,8
1302,7.8,7.8
1303,6.2,7.4
1304,5.8,6.4
1305,6.4,8.4
1306,6,7.8
1308,6,8.4
1309,7.4,8.2
1311,6,6
1312,5.6,5
1313,4,4.8
1314,7.2,6.4
1315,5.8,8
1316,5.8,4.2
1317,7.2,7.8
1318,6,7.6
1319,6.6,8.8
1320,8.6,8.4
1321,5.6,8
1322,6,7.8
1324,8.8,8.8
1325,6.8,7.4
1326,4.6,6.6
1327,6.8,5.8
1328,6,5
1329,6.6,6
1330,6.2,5.8
1331,6.6,7.2
1332,7.6,8.2
1333,5.2,4.4
1334,4.4,5.8
1335,5.6,5.4
1336,5.6,6.4
1337,6.6,6.4
1338,5.6,7
1339,6.8,7.4
1340,7.2,8.6
1342,6.8,5.6
1343,7.8,8.2
1344,7.2,7.4
1346,5.8,7.6
1347,8.4,8.8
1349,5.8,8.6
1350,4.6,5
1351,6.8,8.4
1352,6.2,7.6
1353,6.2,5.8
1355,5,6
1356,6.6,6.6
1357,8.4,7.8
1358,5,8.4
1359,6.8,7.4
1361,6.4,7.4
1362,7.2,6.4
1363,6.6,6.2
1364,5.8,8.2
1367,8.6,8.4
1368,7.6,5.6
1369,8,7.6
1371,6.6,7
1372,6.8,7.6
1373,5.8,6.6
1374,5.2,6.8
1376,5.8,5.2
1377,5.2,6.4
1378,6.6,8
